 779, 18 ,5661, 22.500000, 116,  9, 5, 38, 12.877000, 0.000000
 276,  9 ,5661, 21.500000, 116,  9, 5, 26, 6.714000, 0.000000
 560,  9 ,2080, 24.000000, 106,  9, 5, 36, 7.280000, 0.000000
 757,  9 ,5661, 22.000000, 421,  9, 18, 419, 8.758000, 0.000000
 787,  9 ,5661, 23.000000, 277,  9, 12, 268, 8.206000, 0.000000
 817,  9 ,5661, 22.000000, 277,  9, 12, 268, 7.812000, 0.000000
 867,  9 ,5661, 23.000000, 277,  9, 12, 268, 7.111000, 0.000000
  42, 19 ,5661, 21.500000, 277,  9, 12, 268, 1.117000, 0.000000
  43, 19 ,5661, 22.000000, 1345,  9, 59, 1330, 3.786000, 0.000000
  44,  9 ,2080, 25.000000, 116,  9, 5, 26, 9.023000, 0.000000
  44, 19 ,5661, 21.500000, 116,  9, 5, 101, 1.557000, 0.000000
  44, 19 ,2080, 24.500000, 116,  9, 5, 44, 14.045000, 0.000000
  45, 17 ,5661, 22.000000, 528,  9, 106, 1330, 7.030000, 0.000000
  45, 18 ,5661, 22.000000, 816,  9, 36, 802, 7.030000, 0.000000
  46,  7 ,5661, 22.000000, 106,  9, 21, 102, 11.544000, 0.000000
  46,  9 ,5661, 21.500000, 1249,  9, 54, 1224, 4.291000, 0.000000
  46, 18 ,5661, 22.500000, 116,  9, 5, 81, 8.756000, 0.000000
  46, 19 ,2080, 24.000000, 116,  9, 5, 26, 9.682000, 10.076928
  47,  7 ,5661, 22.000000, 528,  9, 106, 922, 9.769000, 0.000000
  47,  8 ,5661, 22.000000, 421,  9, 18, 394, 9.769000, 0.000000
  47, 17 ,5661, 21.500000, 528,  9, 106, 1857, 14.271000, 0.000000
  47, 18 ,5661, 21.500000, 1089,  9, 47, 1065, 18.767000, 0.000000
  47, 18 ,2080, 23.500000, 116,  9, 5, 82, 3.144000, 10.076928
  48,  9 ,2080, 25.500000, 193,  9, 9, 170, 0.578000, 17.298431
  49,  7 ,5661, 25.000000, 528,  9, 106, 1330, 5.123000, 24.655359
  49,  8 ,5661, 25.000000, 816,  9, 36, 802, 5.123000, 24.655359
  49, 17 ,5661, 22.000000, 106,  9, 21, 102, 10.079000, 24.655359
  49, 19 ,5661, 21.500000, 1249,  9, 54, 1224, 3.381000, 24.655359
  50,  8 ,5661, 22.000000, 116,  9, 5, 81, 7.832000, 21.435392
  50,  9 ,5661, 21.500000, 116,  9, 5, 81, 8.403000, 21.435392
  50,  9 ,2080, 25.500000, 116,  9, 5, 26, 8.549000, 14.976768
  50, 19 ,5661, 21.000000, 1217,  9, 53, 1214, 1.847000, 21.435392
  50, 19 ,2080, 25.500000, 116,  9, 5, 44, 13.576000, 14.976768
  51,  7 ,5661, 23.000000, 116,  9, 23, 113, 2.347000, 18.392576
  53,  7 ,5661, 21.500000, 528, 10, 106, 1330, 9.489000, 18.915585
  53,  8 ,5661, 21.500000, 816, 10, 36, 802, 9.489000, 18.915585
  53,  8 ,2080, 23.500000, 116,  9, 5, 26, 9.626000, 18.818815
  53, 17 ,5661, 22.500000, 528, 10, 106, 1462, 14.470000, 18.894337
  53, 18 ,5661, 21.500000, 1473, 10, 64, 1462, 18.939000, 18.894337
  53, 18 ,2080, 24.000000, 161,  9, 7, 160, 14.620000, 19.336191
  53, 19 ,2080, 25.000000, 116,  9, 5, 37, 7.542000, 19.336191
  54, 17 ,2080, 24.000000, 84,  9, 17, 82, 1.916000, 21.929472
