878,9,46dd,21.5,421,9,18,419,6.977,0
884,19,46dd,22.5,1345,9,59,1330,9.392,0
885,9,46dd,22,1345,9,59,1345,14.389,0
886,9,46dd,22,116,9,5,101,7.397,0
887,7,46dd,21,528,9,106,1330,5.342,0
887,8,46dd,21,816,9,36,802,5.342,0
887,8,0dd4,25,116,9,5,26,9.099,0
887,9,46dd,22.5,116,9,5,102,9.802,0
887,9,0dd4,24.5,161,9,7,160,14.079,0
887,19,46dd,21.5,1217,9,53,1214,3.441,0
888,7,46dd,22,116,10,23,113,3.933,0
888,19,46dd,22,1345,10,59,1340,37.248,0
888,19,0dd4,25,116,9,5,36,4.666,0
889,9,46dd,22.5,1473,10,64,1461,42.231,0
889,19,0dd4,24,116,9,5,26,3.024,14.5472
890,9,46dd,22.5,1345,10,59,1330,3.895,45.112831
890,19,0dd4,24.5,116,9,5,26,0.663,13.067264
891,9,46dd,22,1345,10,59,1330,2.458,45.112831
892,19,0dd4,24.5,116,9,5,26,8.583,10.91072
893,9,0dd4,24,116,9,5,44,13.575,10.91072
894,9,46dd,21.5,1345,10,59,1330,7.941,37.362946
894,19,46dd,21,1345,10,59,1345,12.968,37.362946
895,9,0dd4,23.5,116,9,5,26,10.12,16.228096
895,19,0dd4,24.5,116,9,5,44,15.11,15.464704
897,7,46dd,22.5,528,10,106,1340,8.969,17.319424
897,8,46dd,22.5,816,10,36,812,8.969,17.319424
897,8,0dd4,23.5,116,9,5,36,1.09,15.464704
897,17,46dd,22.5,528,10,106,1462,14.027,17.319424
897,18,46dd,21.5,1473,10,64,1462,18.431,17.319424
898,9,0dd4,24.5,116,10,5,26,3.891,20.879105
899,7,46dd,23,576,11,106,1330,5.299,21.182207
899,8,46dd,23,768,11,30,754,5.299,21.182207
899,9,46dd,22,129,11,5,102,10.281,21.182207
899,9,0dd4,25,116,10,5,26,1.588,18.661119
899,19,46dd,21.5,1217,11,48,1201,3.281,21.182207
900,7,46dd,22.5,116,11,21,113,3.781,22.465281
900,19,46dd,21.5,1345,11,53,1330,1.624,22.465281
901,9,0dd4,24,116,10,5,26,9.598,12.448768
901,19,0dd4,24.5,116,10,5,44,14.59,12.448768
902,19,46dd,22.5,1345,11,53,1330,8.816,12.04224
902,19,0dd4,25,116,10,5,26,1.076,17.278721
903,9,46dd,21.5,1345,11,53,1345,13.821,12.04224
904,19,0dd4,24.5,116,10,5,36,9.083,13.192704
905,17,46dd,21.5,576,11,106,1446,10.124,14.750208
905,18,46dd,21.5,896,11,35,870,10.124,14.750208
905,18,0dd4,17.5,116,10,5,82,2.663,10.192128
906,8,46dd,21,1921,11,75,1910,19.579,14.750208
906,19,46dd,21.5,640,11,25,629,1.72,14.750208
906,19,0dd4,24,116,10,5,26,4.568,16.692225
907,19,46dd,22,285,11,11,268,1.497,22.387968
907,19,0dd4,26.5,116,10,5,26,3.107,15.027456
908,9,46dd,22,1633,12,56,1613,6.479,18.260223
908,19,0dd4,24.5,129,11,5,26,1.062,12.352256
909,9,46dd,21.5,1345,12,46,1330,2.059,14.87488
910,9,46dd,21,1345,12,46,1330,0.811,17.023232
911,7,0dd4,25,28,11,5,26,9.234,8.526592
911,9,0dd4,24.5,153,11,6,132,14.226,8.526592
911,18,0dd4,24.5,129,11,5,7,18.686,8.526592
912,9,46dd,22.5,1345,12,50,1330,8.358,8.761344
912,19,46dd,21.5,1377,12,47,1355,13.443,8.761344
912,19,0dd4,25,129,11,5,36,5.268,21.334272
913,9,46dd,22,149,12,5,69,6.25,8.761344
913,19,0dd4,24,129,11,5,26,2.538,19.357697
914,19,46dd,22,1345,12,46,1330,8.99,13.58592
914,19,0dd4,24.5,129,11,5,26,0.653,15.830016
915,9,46dd,35,1345,12,46,1345,13.976,13.58592
915,19,46dd,22.5,149,12,5,116,18.959,13.58592
916,19,46dd,22,1345,12,46,1330,4.99,21.805824
916,19,0dd4,24,129,11,5,26,8.65,10.730496
917,9,0dd4,25,129,11,5,31,13.641,12.918784
917,19,46dd,21.5,1345,12,46,1330,2.993,21.805824
918,19,46dd,22.5,1345,13,41,1330,1.134,18.528
919,9,0dd4,25,149,12,5,26,10.099,13.197824
919,19,0dd4,24,149,12,5,11,15.093,13.197824
920,19,46dd,23,1345,13,41,1340,9.909,10.764032
920,19,0dd4,27,149,12,5,36,1.131,13.197824
921,9,46dd,22,1473,13,45,1461,14.893,10.764032
922,19,0dd4,23,149,12,5,26,8.656,18.092545
923,9,46dd,21.5,1345,13,41,1330,10.527,15.075072
923,9,0dd4,23.5,149,12,5,11,13.648,16.335873
923,19,46dd,23,1345,13,41,1345,15.525,15.075072
924,19,46dd,22.5,1345,13,41,1330,1.51,15.075072
925,19,0dd4,24,149,12,5,26,4.109,14.21824
926,19,46dd,21,1345,13,41,1330,9.739,16.623873
926,19,0dd4,23.5,149,12,5,26,0.983,14.21824
927,9,46dd,21.5,1345,13,41,1345,14.908,16.623873
928,9,0dd4,24.5,153,13,5,26,4.093,11.909888
929,9,46dd,22.5,1473,14,40,1446,10.282,19.973633
929,9,0dd4,25,165,13,5,82,2.601,13.23008
930,7,46dd,22,848,14,106,1330,3.637,25.224447
930,8,46dd,22,512,14,14,482,3.637,25.224447
930,9,46dd,21.5,193,14,5,86,8.14,25.224447
930,19,46dd,22,1153,14,31,1137,0.993,25.224447
931,9,0dd4,24,165,13,5,26,9.64,10.33984
932,7,0dd4,25,36,13,5,26,3.549,10.33984
932,19,46dd,22,1345,14,36,1330,9.031,32.038654
933,9,46dd,22.5,1345,14,36,1345,14.038,32.038654
934,19,0dd4,25,165,13,5,26,9.526,21.512447
935,9,46dd,22,1345,14,36,1330,10.666,31.593472
935,17,0dd4,24,36,13,5,26,2.205,21.512447
935,19,46dd,22.5,1345,14,36,1345,15.543,30.794497
936,19,46dd,23,1345,14,36,1340,1.484,28.277504
936,19,0dd4,23.5,165,13,5,36,5.081,17.287169
937,9,46dd,22,193,14,5,101,6.465,28.277504
938,7,46dd,22,165,15,18,160,1.526,22.448641
938,9,46dd,21.5,1793,15,43,1733,6.03,22.448641
939,9,46dd,22,1377,15,33,1330,1.688,17.827328
939,9,0dd4,23.5,193,14,5,26,6.138,12.814592
940,9,0dd4,23.5,193,14,5,26,3.99,12.814592
941,9,46dd,22,1377,15,33,1330,10.287,12.754176
941,9,0dd4,25,193,14,5,26,2.094,13.980672
941,19,46dd,21,1313,15,32,1313,15.287,12.754176
942,7,46dd,22,46,15,5,17,3.519,12.754176
942,19,46dd,22.5,1377,15,33,1330,2.039,18.187263
943,19,0dd4,23.5,193,14,5,26,3.133,12.926976
944,19,46dd,22.5,1377,15,33,1340,9.796,13.697792
944,19,0dd4,23,193,14,5,36,0.987,12.926976
945,9,46dd,22.5,1441,15,35,1429,14.782,13.697792
945,17,46dd,20,46,15,5,5,3.063,13.697792
946,19,46dd,22.5,1377,15,33,1330,4.982,17.64864
946,19,0dd4,27,193,14,5,26,9.17,8.857856
948,7,46dd,21.5,1024,16,106,1330,2.919,13.435136
948,8,46dd,21.5,309,16,7,306,2.919,13.435136
948,9,46dd,22,225,16,5,113,7.912,12.636672
948,19,46dd,22.5,1249,16,28,1221,0.968,12.636672
949,7,46dd,22.5,209,16,21,197,1.44,12.636672
949,17,0dd4,25.5,46,15,5,26,10.573,16.886784
949,19,0dd4,23.5,209,15,5,114,15.083,16.886784
950,19,46dd,23,1377,16,31,1330,9.485,11.312128
950,19,0dd4,25.5,209,15,5,26,1.154,25.683712
951,9,46dd,22,1313,16,30,1313,14.473,11.312128
951,17,46dd,21.5,48,16,5,17,3.019,11.312128
952,19,0dd4,24.5,209,15,5,36,9.233,20.808449
953,9,46dd,22,1473,16,33,1446,10.008,17.351168
953,9,0dd4,25,209,15,5,59,14.225,20.808449
954,7,46dd,21.5,1024,16,106,1330,4.008,18.745855
954,8,46dd,21.5,309,16,7,306,4.008,18.745855
954,9,46dd,22.5,225,16,5,113,8.514,18.745855
954,19,46dd,21,1121,16,25,1105,1.65,18.745855
955,9,0dd4,25,209,15,5,26,10.163,18.465281
956,19,46dd,22,1377,16,31,1330,9.38,21.925632
956,19,0dd4,24,209,15,5,26,1.092,18.19136
957,9,46dd,22,1313,16,30,1313,14.361,21.925632
957,17,46dd,21.5,48,16,5,17,3.485,21.925632
958,19,0dd4,24,225,16,5,26,9.176,9.294336
959,9,46dd,22,1377,17,31,1330,10.361,22.455551
959,19,46dd,21.5,1313,17,30,1313,15.302,28.852991
960,7,46dd,22,48,17,5,17,4.297,28.852991
960,19,46dd,22,1377,17,31,1340,1.324,29.325056
961,9,46dd,23,225,17,5,69,6.307,29.325056
961,9,0dd4,24,225,16,5,82,10.103,14.236672
961,19,0dd4,23.5,225,16,5,43,15.094,14.236672
962,19,46dd,21,1377,17,31,1330,9.442,24.910591
962,19,0dd4,24.5,225,16,5,26,1.599,17.834496
