67,19,bfd3,25,421,9,18,419,5.854,0
216,18,9d67,14.5,106,9,5,10,9.328,0
67,19,bfd3,25,421,9,18,419,5.854,0
98,9,bfd3,26,277,9,12,268,10.587,0
128,9,bfd3,26,269,9,13,268,10.116,0
178,9,bfd3,26,277,9,12,268,9.582,0
378,9,bfd3,27,277,9,12,268,8.572,0
447,8,e640,9.5,116,9,5,10,5.322,0
578,9,bfd3,26,277,9,12,268,7.604,0
778,9,bfd3,25.5,161,9,7,160,6.599,0
933,19,bfd3,27.5,116,9,5,26,6.272,0
945,9,bfd3,26,116,9,5,10,5.868,0
971,19,bfd3,26.5,1345,9,59,1330,9.821,0
992,9,bfd3,25.5,944,9,45,932,1.631,0
998,19,bfd3,26,116,9,5,82,7.706,0
1008,19,bfd3,31.5,301,9,13,278,6.916,0
1014,19,bfd3,25.5,928,9,41,922,9.62,0
32,19,bfd3,32,960,9,42,932,6.619,0
33,9,bfd3,27,116,9,5,78,11.648,0
94,19,e640,9,421,9,18,419,3.153,0
95,9,bfd3,25.5,277,9,12,268,8.532,0
118,19,bfd3,26.5,928,9,41,922,9.66,0
125,9,e640,9.5,277,9,12,268,7.666,0
155,9,e640,9.5,277,9,12,268,7.194,0
205,9,e640,12.5,277,9,12,268,6.482,0
215,9,e640,9.5,277,9,12,268,5.927,0
291,9,bfd3,27,928,9,41,922,7.631,0
326,9,bfd3,26,277,9,12,268,6.553,0
399,19,9d67,15,116,9,5,82,6.485,0
415,19,e640,8.5,277,9,12,268,10.119,0
450,19,bfd3,27,277,9,12,268,9.131,0
453,19,bfd3,28,161,9,7,160,8.275,0
456,19,bfd3,29.5,944,10,41,932,9.168,0
511,9,9d67,16.5,116,9,5,26,6.761,0
615,19,e640,9,161,9,7,160,9.105,0
630,9,bfd3,25.5,928,9,41,922,5.64,0
832,19,e640,13,116,9,5,36,9.675,0
330,9,bfd3,26.5,1345,9,59,1330,12.656,0
446,9,bfd3,25.5,2433,9,106,2690,8.606,0
446,17,bfd3,25.5,261,9,52,257,8.606,0
450,19,bfd3,26.5,2433,9,106,3909,53.613,0
451,7,bfd3,26.5,528,9,106,1476,53.613,0
451,8,bfd3,26.5,960,9,42,948,53.613,0
451,9,bfd3,27,116,9,5,104,58.581,0
454,9,bfd3,26,161,10,7,160,4.779,0
457,9,bfd3,25.5,161,10,7,142,8.774,0
460,9,bfd3,27.5,1345,10,59,1330,6.774,0
463,19,bfd3,26,944,11,37,922,4.234,0
481,9,bfd3,27,153,11,6,142,7.584,0
500,19,bfd3,26.5,640,10,28,629,8.744,0
504,9,bfd3,26,193,10,9,170,2.147,0
506,19,bfd3,27,185,11,7,160,3.868,0
533,19,e640,9.5,116,9,5,26,8.994,0
534,9,e640,7.5,116,9,5,44,14.015,0
536,9,e640,7.5,106,9,5,36,9.63,9.17632
536,19,e640,13.5,185,9,8,172,14.613,9.17632
537,19,e640,10,116,9,5,26,1.026,9.17632
539,19,e640,12,116,9,5,26,8.57,19.568384
540,9,e640,7.5,116,9,5,44,13.599,19.568384
540,19,bfd3,25.5,1345,11,53,1330,9.342,0
541,9,bfd3,27.5,1345,11,53,1345,14.381,0
542,9,e640,11.5,116,9,5,26,9.628,18.398464
542,19,e640,9,116,9,5,44,14.619,19.745279
543,9,bfd3,26,1345,11,53,1330,9.801,10.759424
543,19,bfd3,26,1345,11,53,1345,14.815,10.759424
543,19,e640,11.5,116,9,5,26,0.606,16.862976
545,7,bfd3,29,672,12,106,1340,0.88,18.454529
545,8,bfd3,29,672,12,23,668,0.88,18.454529
545,9,bfd3,26,149,12,5,102,5.83,18.454529
546,17,bfd3,27.5,640,12,100,629,10.302,15.132672
546,17,e640,11.5,30,10,6,44,14.123,16.932863
546,19,bfd3,27,704,12,24,690,9.394,15.132672
546,19,e640,11.5,185,10,8,168,7.157,16.932863
547,17,bfd3,27,640,12,100,806,2.424,19.615999
547,18,bfd3,27,177,12,6,166,2.424,19.615999
548,17,bfd3,27,640,12,100,1374,11.824,19.615999
548,18,bfd3,27,736,12,25,734,11.824,19.615999
550,7,bfd3,26.5,672,12,106,1330,10.236,23.215103
550,8,bfd3,26.5,672,12,23,658,10.236,23.215103
550,8,e640,10.5,116,10,5,43,7.157,20.552959
550,9,bfd3,26,672,12,23,670,20.659,23.215103
550,9,e640,11,209,10,9,198,7.157,20.552959
551,7,bfd3,27,421,12,65,774,1.256,30.45248
551,8,bfd3,27,388,12,13,353,1.256,30.45248
551,17,bfd3,27,528,12,83,637,12.241,30.45248
551,18,bfd3,27,149,12,5,109,12.241,30.45248
552,7,e640,8,528,10,106,536,32.511,20.552959
552,8,e640,8,106,10,5,8,32.511,20.552959
552,9,bfd3,26,1345,12,50,1330,4.564,34.362625
552,17,bfd3,28,101,12,16,101,5.078,34.362625
552,19,e640,14,116,10,5,67,6.976,20.552959
553,8,e640,12.5,185,10,8,183,6.976,20.552959
553,17,bfd3,26.5,672,12,106,1446,2.296,28.861183
553,18,bfd3,26.5,784,12,27,774,2.296,28.861183
