 159, 18 ,9de0, 27.500000, 116,  9, 5, 10, 5.493000, 0.000000
 543,  9 ,9de0, 28.000000, 116,  9, 5, 26, 7.169000, 0.000000
 780, 19 ,9de0, 27.500000, 421,  9, 18, 419, 9.301000, 0.000000
 810, 19 ,9de0, 28.000000, 277,  9, 12, 268, 8.809000, 0.000000
 840, 19 ,9de0, 28.000000, 301,  9, 13, 278, 7.715000, 0.000000
 890, 19 ,9de0, 27.500000, 277,  9, 12, 268, 7.041000, 0.000000
  66, 19 ,9de0, 26.500000, 277,  9, 12, 268, 6.249000, 0.000000
  76, 19 ,9de0, 27.000000, 277,  9, 12, 268, 5.789000, 0.000000
 277,  9 ,9de0, 27.500000, 161,  9, 7, 160, 10.258000, 0.000000
 389,  9 ,dc33, 21.500000, 421,  9, 18, 419, 10.032000, 0.000000
 419,  9 ,dc33, 22.000000, 277,  9, 12, 268, 9.541000, 0.000000
 449,  9 ,dc33, 22.500000, 277,  9, 12, 268, 9.035000, 0.000000
 499,  9 ,dc33, 22.500000, 277,  9, 12, 268, 8.493000, 0.000000
 527, 19 ,dc33, 22.000000, 116,  9, 5, 26, 7.200000, 0.000000
 719,  9 ,dc33, 22.000000, 277,  9, 12, 268, 8.480000, 0.000000
 939,  9 ,dc33, 22.000000, 277,  9, 12, 268, 8.501000, 0.000000
 135,  9 ,dc33, 21.500000, 161,  9, 7, 160, 8.478000, 0.000000
 257,  9 ,9de0, 29.000000, 1473,  9, 64, 1446, 9.355000, 0.000000
 258,  7 ,9de0, 25.000000, 528,  9, 106, 1330, 2.316000, 0.000000
 258,  8 ,9de0, 25.000000, 816,  9, 36, 802, 2.316000, 0.000000
 258,  9 ,dc33, 22.000000, 116,  9, 5, 26, 9.500000, 0.000000
 258,  9 ,9de0, 27.500000, 116,  9, 5, 102, 6.776000, 0.000000
 259,  7 ,9de0, 28.500000, 421,  9, 83, 1330, 1.005000, 0.000000
 259,  8 ,9de0, 28.500000, 912,  9, 40, 909, 1.005000, 0.000000
